date,open,high,low,close,volume,Name
2013-02-08,99.14,100.19,98.32,99.32,212387,ULTA
2013-02-11,99.28,100.19,98.68,99.19,230997,ULTA
2013-02-12,99.53,100.06,98.41,98.71,341815,ULTA
2013-02-13,98.72,99.68,98.26,99.49,320061,ULTA
2013-02-14,88.3,89.51,86.9,87.8,6945286,ULTA
2013-02-15,88.32,88.77,86.95,87.96,1769660,ULTA
2013-02-19,87.68,88.48,83.45,85.68,3131327,ULTA
2013-02-20,85.61,87.31,85.325,87.17,1912756,ULTA
2013-02-21,86.75,87.9,85.45,87.67,1504169,ULTA
2013-02-22,88.01,89.28,87.61,88.05,1428861,ULTA
2013-02-25,88.17,90.21,87.74,88.07,1577853,ULTA
2013-02-26,88.02,88.83,85.56,86.2,1696959,ULTA
2013-02-27,86.64,88.49,86.45,88.03,1256709,ULTA
2013-02-28,88.0,89.04,87.7143,88.56,1117076,ULTA
2013-03-01,88.39,89.39,87.8201,88.78,936909,ULTA
2013-03-04,89.2,90.39,88.83,89.79,753098,ULTA
2013-03-05,90.27,92.12,90.04,91.68,1325600,ULTA
2013-03-06,91.38,91.69,90.79,91.11,1396736,ULTA
2013-03-07,90.72,91.19,89.31,89.91,948721,ULTA
2013-03-08,90.08,90.419,89.0,89.79,1657214,ULTA
2013-03-11,89.88,90.53,89.52,89.82,1240493,ULTA
2013-03-12,89.73,89.88,87.15,87.19,1010930,ULTA
2013-03-13,87.93,88.7,86.63,87.49,1455596,ULTA
2013-03-14,87.85,89.03,87.18,88.368,2905875,ULTA
2013-03-15,75.96,76.93,72.51,74.14,13814377,ULTA
2013-03-18,73.61,74.74,72.94,73.96,2410940,ULTA
2013-03-19,74.21,75.15,74.17,74.91,2306178,ULTA
2013-03-20,75.44,78.2,74.93,77.38,2469917,ULTA
2013-03-21,77.28,79.2,76.1,76.39,2480934,ULTA
2013-03-22,77.43,77.95,77.05,77.52,1562487,ULTA
2013-03-25,77.86,78.26,76.11,77.22,947643,ULTA
2013-03-26,77.17,79.67,76.8,79.3,1418761,ULTA
2013-03-27,78.99,80.6525,78.63,80.48,1337810,ULTA
2013-03-28,80.46,81.59,80.17,81.29,1995465,ULTA
2013-04-01,81.1,81.85,80.85,81.69,1087881,ULTA
2013-04-02,82.09,83.4,81.85,82.48,1654311,ULTA
2013-04-03,82.45,82.66,81.41,82.0,1711590,ULTA
2013-04-04,84.3,84.8599,82.43,84.74,2138069,ULTA
2013-04-05,83.54,84.4,82.69,84.05,1515803,ULTA
2013-04-08,84.05,84.6,83.75,84.04,1650277,ULTA
2013-04-09,84.39,84.95,84.09,84.53,1441091,ULTA
2013-04-10,84.53,86.63,84.25,85.65,1608551,ULTA
2013-04-11,85.7,88.65,85.52,88.14,2312841,ULTA
2013-04-12,87.75,88.6,86.63,87.69,1697849,ULTA
2013-04-15,87.5,87.6599,85.37,85.76,1531694,ULTA
2013-04-16,86.68,86.9899,85.68,86.645,1476822,ULTA
2013-04-17,86.03,86.1999,83.85,84.469,1378016,ULTA
2013-04-18,85.04,85.04,82.2401,82.97,1297904,ULTA
2013-04-19,83.19,84.24,82.48,83.7,1395974,ULTA
2013-04-22,84.0,85.64,83.31,84.84,806233,ULTA
2013-04-23,85.42,86.79,85.2,86.46,1071492,ULTA
2013-04-24,86.43,86.75,84.6201,86.22,946144,ULTA
2013-04-25,86.72,87.0,85.48,85.64,969743,ULTA
2013-04-26,85.69,86.62,85.22,85.99,703943,ULTA
2013-04-29,85.87,87.83,85.845,86.72,997549,ULTA
2013-04-30,86.98,87.87,86.47,87.65,825993,ULTA
2013-05-01,87.09,87.56,86.22,86.56,1073541,ULTA
2013-05-02,86.36,89.75,86.36,89.36,1372564,ULTA
2013-05-03,89.98,90.63,89.8101,90.18,964893,ULTA
2013-05-06,89.97,91.47,89.96,91.12,650568,ULTA
2013-05-07,91.0,91.06,89.95,90.41,655276,ULTA
2013-05-08,90.4,91.56,90.12,91.48,442038,ULTA
2013-05-09,90.98,91.58,89.39,89.39,826067,ULTA
2013-05-10,89.73,92.52,89.4,92.18,880280,ULTA
2013-05-13,92.22,93.405,92.04,92.99,900247,ULTA
2013-05-14,92.66,94.52,92.4,93.51,570183,ULTA
2013-05-15,93.45,93.96,92.37,93.61,586923,ULTA
2013-05-16,93.04,94.29,92.6101,93.09,1006461,ULTA
2013-05-17,93.43,94.17,92.75,93.97,491033,ULTA
2013-05-20,93.97,95.25,93.71,94.87,726484,ULTA
2013-05-21,94.87,96.249,94.84,94.88,1076099,ULTA
2013-05-22,94.81,96.3,93.42,94.06,1073786,ULTA
2013-05-23,93.04,93.74,92.53,93.22,873810,ULTA
2013-05-24,92.79,93.53,91.58,92.12,667245,ULTA
2013-05-28,92.92,93.49,91.78,92.09,513705,ULTA
2013-05-29,91.75,92.58,91.0,91.67,713888,ULTA
2013-05-30,91.74,92.09,91.1,91.44,517621,ULTA
2013-05-31,91.06,91.62,90.42,90.76,683305,ULTA
2013-06-03,91.24,91.24,88.2,89.74,653776,ULTA
2013-06-04,87.9,89.54,85.76,87.11,1344628,ULTA
2013-06-05,86.72,88.0,85.98,86.09,726894,ULTA
2013-06-06,86.27,86.91,85.83,86.89,554346,ULTA
2013-06-07,87.16,87.7575,85.51,85.65,938820,ULTA
2013-06-10,86.79,87.3,86.17,86.59,1609612,ULTA
2013-06-11,86.0,86.74,83.65,84.13,2284801,ULTA
2013-06-12,95.36,98.88,95.1,96.64,7491955,ULTA
2013-06-13,96.36,97.45,95.245,97.01,1521214,ULTA
2013-06-14,96.08,97.0,95.19,96.14,838625,ULTA
2013-06-17,96.12,96.68,95.5,96.02,714351,ULTA
2013-06-18,96.0,96.85,95.765,96.6,542539,ULTA
2013-06-19,96.32,96.64,94.95,95.04,473654,ULTA
2013-06-20,94.45,94.73,92.97,93.4,645456,ULTA
2013-06-21,93.93,94.36,91.94,94.15,1042007,ULTA
2013-06-24,93.28,98.3266,92.552,97.18,2091995,ULTA
2013-06-25,98.01,98.8,96.85,97.89,894172,ULTA
2013-06-26,98.8,100.0,98.12,98.71,779166,ULTA
2013-06-27,98.91,99.45,98.34,99.25,919033,ULTA
2013-06-28,98.61,100.41,97.98,100.12,1185937,ULTA
2013-07-01,100.0,100.69,98.58,99.01,605889,ULTA
2013-07-02,99.19,99.74,96.6,97.48,1141396,ULTA
2013-07-03,97.37,99.21,97.37,98.66,297938,ULTA
2013-07-05,99.49,100.64,99.11,100.23,481946,ULTA
2013-07-08,100.15,101.41,99.7,100.16,721103,ULTA
2013-07-09,100.25,101.48,99.13,99.5,526992,ULTA
2013-07-10,99.6,99.89,98.59,99.29,548935,ULTA
2013-07-11,100.11,100.94,99.8301,100.73,404991,ULTA
2013-07-12,100.31,100.905,99.39,100.57,345291,ULTA
2013-07-15,100.85,100.96,99.23,99.46,363688,ULTA
2013-07-16,99.04,99.21,97.726,98.94,654534,ULTA
2013-07-17,98.98,99.04,97.09,97.13,465999,ULTA
2013-07-18,97.36,98.37,96.77,97.8,411961,ULTA
2013-07-19,97.77,98.51,96.95,97.39,387576,ULTA
2013-07-22,97.3,98.67,97.24,98.67,380723,ULTA
2013-07-23,98.66,98.82,95.71,95.9,668365,ULTA
2013-07-24,96.24,96.43,93.36,94.06,723392,ULTA
2013-07-25,94.19,95.4,93.34,95.31,599126,ULTA
2013-07-26,94.89,100.47,94.89,99.68,1119594,ULTA
2013-07-29,99.72,100.17,97.97,98.89,591712,ULTA
2013-07-30,98.98,100.64,98.961,100.47,443876,ULTA
2013-07-31,100.53,101.43,99.92,100.9,393382,ULTA
2013-08-01,100.9,101.84,100.09,101.65,850921,ULTA
2013-08-02,101.35,105.01,100.24,103.47,1084668,ULTA
2013-08-05,103.5,103.9625,101.77,102.38,478228,ULTA
2013-08-06,102.41,104.42,102.41,103.51,618833,ULTA
2013-08-07,103.18,103.18,101.5301,102.17,378360,ULTA
2013-08-08,102.47,106.1,102.1217,106.03,718672,ULTA
2013-08-09,105.8,106.89,105.0101,105.8,781702,ULTA
2013-08-12,105.28,105.95,104.81,105.28,396332,ULTA
2013-08-13,105.45,106.5,104.54,105.45,272468,ULTA
2013-08-14,104.81,105.62,103.45,103.5,300995,ULTA
2013-08-15,102.3,102.78,98.05,99.21,1525879,ULTA
2013-08-16,99.47,100.39,98.48,98.61,1027345,ULTA
2013-08-19,98.12,99.63,98.1,99.31,826988,ULTA
2013-08-20,99.85,103.04,99.4,101.47,731126,ULTA
2013-08-21,101.31,102.56,100.15,101.52,524199,ULTA
2013-08-22,102.05,102.5299,100.955,102.04,225169,ULTA
2013-08-23,102.81,103.94,101.13,103.75,470517,ULTA
2013-08-26,104.32,105.0,103.32,104.18,394454,ULTA
2013-08-27,102.99,103.15,99.91,100.31,477551,ULTA
2013-08-28,100.36,101.07,99.5601,100.1,385062,ULTA
2013-08-29,99.91,101.51,99.541,100.99,240680,ULTA
2013-08-30,102.55,102.55,99.08,99.24,567347,ULTA
2013-09-03,100.62,100.99,98.28,98.54,627001,ULTA
2013-09-04,98.54,98.975,97.41,97.86,948965,ULTA
2013-09-05,98.09,98.32,97.301,98.0,856530,ULTA
2013-09-06,98.1,99.02,96.442,97.24,947526,ULTA
2013-09-09,99.2,101.88,98.45,101.35,912905,ULTA
2013-09-10,102.04,104.26,101.0947,103.67,783238,ULTA
2013-09-11,103.43,104.2,101.68,102.16,780981,ULTA
2013-09-12,101.53,103.1035,99.96,100.16,1741872,ULTA
2013-09-13,114.1,118.27,112.47,117.53,4486962,ULTA
2013-09-16,118.5,120.11,117.381,118.35,1474540,ULTA
2013-09-17,116.98,117.925,116.63,117.13,1055767,ULTA
2013-09-18,117.08,120.365,116.46,119.99,1261132,ULTA
2013-09-19,120.72,121.4977,118.3,118.75,922889,ULTA
2013-09-20,119.27,119.82,116.66,117.63,1283261,ULTA
2013-09-23,116.14,117.87,116.0,117.11,586378,ULTA
2013-09-24,117.08,118.34,116.23,117.15,434802,ULTA
2013-09-25,117.65,117.8958,115.71,116.78,352271,ULTA
2013-09-26,117.75,118.88,116.83,117.32,356624,ULTA
2013-09-27,117.11,119.17,116.08,119.11,488072,ULTA
2013-09-30,118.07,119.75,117.29,119.46,620635,ULTA
2013-10-01,119.65,121.99,119.0901,121.74,854612,ULTA
2013-10-02,121.31,121.86,120.6,121.42,398827,ULTA
2013-10-03,121.86,126.025,121.81,124.04,1144791,ULTA
2013-10-04,124.16,125.0,122.84,123.92,1119678,ULTA
2013-10-07,122.79,125.15,122.32,123.49,695397,ULTA
2013-10-08,123.17,123.57,119.93,119.99,944883,ULTA
2013-10-09,118.77,120.02,116.41,118.63,823287,ULTA
2013-10-10,120.27,120.93,118.8,119.81,541651,ULTA
2013-10-11,120.0,120.0,118.23,118.638,597242,ULTA
2013-10-14,117.56,118.74,116.35,118.22,663563,ULTA
2013-10-15,118.55,119.06,116.5801,117.85,1168346,ULTA
2013-10-16,118.5,122.43,117.92,121.584,685579,ULTA
2013-10-17,121.08,124.11,120.07,123.69,652379,ULTA
2013-10-18,124.69,126.95,124.0,126.21,682888,ULTA
2013-10-21,127.31,127.46,123.07,125.99,981206,ULTA
2013-10-22,127.05,127.8999,124.78,126.11,292047,ULTA
2013-10-23,125.33,126.19,124.42,125.77,255759,ULTA
2013-10-24,125.61,128.28,125.04,128.28,378159,ULTA
2013-10-25,128.85,128.9,126.7,127.52,470128,ULTA
2013-10-28,127.55,129.14,126.48,127.29,561521,ULTA
2013-10-29,127.59,128.39,126.81,128.29,230180,ULTA
2013-10-30,128.19,129.419,127.67,128.56,414632,ULTA
2013-10-31,128.3,129.97,127.5,128.85,439917,ULTA
2013-11-01,128.8,130.33,127.68,128.63,271756,ULTA
2013-11-04,129.31,131.33,128.43,130.7,354371,ULTA
2013-11-05,130.4,131.99,128.85,131.5,232128,ULTA
2013-11-06,131.84,131.94,129.63,131.41,282295,ULTA
2013-11-07,131.46,131.96,126.3,126.84,593554,ULTA
2013-11-08,127.06,129.2,126.61,127.89,507582,ULTA
2013-11-11,128.46,129.91,127.07,128.27,377370,ULTA
2013-11-12,128.62,129.67,127.22,129.53,591110,ULTA
2013-11-13,128.54,130.53,128.02,130.41,437948,ULTA
2013-11-14,130.31,130.67,129.05,130.44,305722,ULTA
