date,open,high,low,close,volume,Name
2013-02-08,90.1,90.89,89.75,90.09,3849368,UTX
2013-02-11,90.07,90.32,89.36,89.61,3078992,UTX
2013-02-12,89.8,90.08,89.55,89.98,3315005,UTX
2013-02-13,89.82,89.82,89.0,89.5,3575261,UTX
2013-02-14,89.23,90.0,88.8,89.69,3629302,UTX
2013-02-15,90.05,90.78,89.85,90.78,4420451,UTX
2013-02-19,91.03,91.51,90.63,91.02,4422322,UTX
2013-02-20,91.02,91.1945,90.11,90.16,3019882,UTX
2013-02-21,89.78,89.81,88.52,89.41,3784861,UTX
2013-02-22,89.89,90.49,89.67,90.49,3649695,UTX
2013-02-25,90.9,90.95,88.37,88.37,4001867,UTX
2013-02-26,89.01,89.53,88.6699,89.2,2607059,UTX
2013-02-27,89.1,90.76,88.41,90.57,3363544,UTX
2013-02-28,90.74,91.32,90.23,90.55,3838807,UTX
2013-03-01,90.26,90.75,89.28,90.13,2707849,UTX
2013-03-04,89.54,89.71,88.49,89.13,3145358,UTX
2013-03-05,89.69,91.29,89.51,91.02,3362772,UTX
2013-03-06,91.59,91.86,90.9,91.07,2566093,UTX
2013-03-07,91.2,91.89,91.18,91.71,2526738,UTX
2013-03-08,92.03,92.91,91.89,92.07,3121060,UTX
2013-03-11,92.16,93.1,91.91,92.91,2569315,UTX
2013-03-12,92.86,93.24,92.25,93.14,3027506,UTX
2013-03-13,93.19,93.43,92.71,93.08,3825745,UTX
2013-03-14,93.38,93.45,92.97,93.45,3274607,UTX
2013-03-15,93.3,93.5,93.0,93.28,5582463,UTX
2013-03-18,92.97,93.58,92.62,92.77,2980681,UTX
2013-03-19,93.0,93.66,92.48,93.11,3701050,UTX
2013-03-20,93.82,94.0,93.35,93.45,3011905,UTX
2013-03-21,93.01,93.31,92.28,92.43,2222323,UTX
2013-03-22,92.79,93.64,92.6,93.59,3182337,UTX
2013-03-25,93.78,94.0,92.33,92.8,2353673,UTX
2013-03-26,93.28,93.48,92.54,92.65,3004195,UTX
2013-03-27,92.34,92.76,91.29,92.61,2443184,UTX
2013-03-28,93.1,93.73,93.01,93.43,4047155,UTX
2013-04-01,93.16,93.41,92.7,92.92,2545114,UTX
2013-04-02,93.15,93.54,92.85,92.99,2586308,UTX
2013-04-03,93.15,93.97,93.01,93.2,4407865,UTX
2013-04-04,93.37,93.8,92.955,93.16,3029235,UTX
2013-04-05,92.0,92.75,91.9,92.64,2564735,UTX
2013-04-08,92.84,93.72,92.42,93.71,2386312,UTX
2013-04-09,93.94,94.58,93.38,94.45,3181902,UTX
2013-04-10,94.72,95.699,94.64,95.18,3780180,UTX
2013-04-11,95.52,95.84,95.17,95.82,3908865,UTX
2013-04-12,95.63,95.69,95.17,95.69,2539771,UTX
2013-04-15,95.37,95.48,93.5,93.52,3956377,UTX
2013-04-16,94.4,94.82,93.72,94.51,2843898,UTX
2013-04-17,93.79,93.89,92.41,92.85,3532354,UTX
2013-04-18,92.91,93.11,91.25,91.55,4387739,UTX
2013-04-19,91.72,93.29,91.72,93.22,3784402,UTX
2013-04-22,93.22,94.06,92.54,93.63,3133138,UTX
2013-04-23,93.3,94.25,90.65,92.89,6504823,UTX
2013-04-24,92.73,93.07,91.82,92.0,4228059,UTX
2013-04-25,92.4,93.19,92.0,92.11,3592097,UTX
2013-04-26,92.03,92.21,91.13,91.15,2927372,UTX
2013-04-29,91.27,91.79,90.62,91.62,2993581,UTX
2013-04-30,92.1,92.23,91.04,91.29,4180000,UTX
2013-05-01,91.04,91.65,90.92,91.05,3982145,UTX
2013-05-02,91.29,92.19,91.29,91.75,2725272,UTX
2013-05-03,92.73,93.48,92.43,93.11,3088125,UTX
2013-05-06,92.95,93.83,92.8,93.49,2063332,UTX
2013-05-07,93.59,93.9,93.27,93.87,2527045,UTX
2013-05-08,93.75,94.38,93.59,94.38,2606155,UTX
2013-05-09,94.51,95.585,94.3201,94.76,3633283,UTX
2013-05-10,94.91,95.25,94.57,95.25,2528995,UTX
2013-05-13,95.03,95.3175,94.77,94.95,1963983,UTX
2013-05-14,94.97,95.967,94.97,95.93,3567076,UTX
2013-05-15,95.47,95.88,94.79,95.81,3042629,UTX
2013-05-16,95.51,95.8286,95.05,95.17,2939497,UTX
2013-05-17,95.28,97.41,94.87,97.35,4209315,UTX
2013-05-20,97.04,97.72,96.94,97.23,2625234,UTX
2013-05-21,97.56,98.15,97.22,97.55,2791814,UTX
2013-05-22,97.6,98.18,96.11,96.25,4320825,UTX
2013-05-23,95.38,95.97,94.93,95.49,3270609,UTX
2013-05-24,95.0,95.27,94.19,95.04,2615508,UTX
2013-05-28,95.94,96.62,95.5,95.97,3431033,UTX
2013-05-29,95.39,95.63,94.81,95.12,3171482,UTX
2013-05-30,95.44,96.51,95.2,95.96,3701475,UTX
2013-05-31,95.63,96.61,94.9,94.9,4237362,UTX
2013-06-03,95.16,95.75,94.011,95.23,4368992,UTX
2013-06-04,94.92,95.42,93.64,94.28,3433649,UTX
2013-06-05,93.94,94.03,92.87,93.01,3793739,UTX
