date,open,high,low,close,volume,Name
2013-02-08,71.87,72.33,70.96,71.1,655524,VAR
2013-02-11,71.04,71.1499,70.55,71.11,639128,VAR
2013-02-12,71.06,71.94,70.92,71.36,871400,VAR
2013-02-13,71.64,71.69,70.98,71.5,617887,VAR
2013-02-14,71.22,71.5,70.88,70.96,614113,VAR
2013-02-15,70.93,71.08,70.0,70.05,840565,VAR
2013-02-19,70.13,71.0,69.6601,70.69,399119,VAR
2013-02-20,70.51,70.56,69.8,69.9,780917,VAR
2013-02-21,69.81,69.925,68.79,69.48,744669,VAR
2013-02-22,69.87,70.215,69.58,70.12,562684,VAR
2013-02-25,70.39,71.03,69.21,69.21,693774,VAR
2013-02-26,69.49,69.52,67.88,68.66,907776,VAR
2013-02-27,68.59,69.5,68.49,69.35,993982,VAR
2013-02-28,69.34,71.08,69.22,70.63,1207429,VAR
2013-03-01,70.51,71.2202,69.8,70.85,759106,VAR
2013-03-04,70.66,71.57,70.65,71.55,696396,VAR
2013-03-05,71.75,73.1025,71.75,72.7,741426,VAR
2013-03-06,73.0,73.0,71.38,72.01,731186,VAR
2013-03-07,72.29,73.12,71.98,72.13,643966,VAR
2013-03-08,72.4,73.89,72.19,73.82,691712,VAR
2013-03-11,73.59,73.64,73.27,73.46,360889,VAR
2013-03-12,73.31,73.73,73.12,73.7,382710,VAR
2013-03-13,73.62,74.5,73.2407,74.44,490609,VAR
2013-03-14,74.46,74.46,73.58,74.06,682181,VAR
2013-03-15,73.79,73.79,72.76,73.23,747161,VAR
2013-03-18,72.47,72.78,71.92,72.48,452494,VAR
2013-03-19,72.62,72.6697,71.56,72.31,287418,VAR
2013-03-20,72.63,72.9,72.0,72.36,500263,VAR
2013-03-21,72.1,72.8,71.81,72.17,547308,VAR
2013-03-22,72.3,72.64,71.88,72.25,679510,VAR
2013-03-25,72.51,72.51,71.56,71.68,580191,VAR
2013-03-26,71.94,72.25,71.51,71.79,802341,VAR
2013-03-27,71.51,71.8,71.07,71.7,801904,VAR
2013-03-28,71.69,72.08,71.47,72.0,838828,VAR
2013-04-01,72.0,72.07,71.21,71.89,513843,VAR
2013-04-02,72.14,72.27,71.75,71.91,597144,VAR
2013-04-03,72.16,72.16,71.09,71.36,595811,VAR
2013-04-04,71.5,71.73,71.11,71.35,458757,VAR
2013-04-05,70.66,70.88,70.19,70.66,771732,VAR
2013-04-08,70.6,71.07,70.12,70.7,529449,VAR
2013-04-09,70.95,71.35,70.64,71.0,569865,VAR
2013-04-10,71.11,71.95,71.11,71.66,611651,VAR
2013-04-11,71.64,72.71,71.64,72.3,435209,VAR
2013-04-12,72.07,73.2,71.99,72.78,597214,VAR
2013-04-15,70.08,70.65,68.77,68.97,1524013,VAR
2013-04-16,69.29,69.5,68.53,69.3,979406,VAR
2013-04-17,68.89,68.98,67.465,67.55,798141,VAR
2013-04-18,67.55,68.07,66.35,66.57,968435,VAR
2013-04-19,65.97,67.37,65.5,67.29,2154635,VAR
2013-04-22,67.23,67.41,66.9,67.03,696088,VAR
2013-04-23,67.27,68.56,67.13,68.51,866922,VAR
2013-04-24,68.52,68.66,67.69,68.35,992126,VAR
2013-04-25,65.0,65.9,63.1,64.02,3706609,VAR
2013-04-26,64.0,64.51,63.79,64.12,1134898,VAR
2013-04-29,64.48,65.04,64.31,64.79,794738,VAR
2013-04-30,64.86,65.16,64.07,65.14,887928,VAR
2013-05-01,64.96,65.08,64.05,64.2,640963,VAR
2013-05-02,64.53,64.77,64.145,64.46,615742,VAR
2013-05-03,65.17,66.47,65.09,65.69,1140517,VAR
2013-05-06,65.64,65.93,65.14,65.53,655186,VAR
2013-05-07,65.71,66.3,65.4875,66.03,911693,VAR
2013-05-08,66.05,67.62,66.01,67.59,788671,VAR
2013-05-09,67.34,68.34,66.62,68.21,901180,VAR
2013-05-10,68.17,68.82,68.0,68.75,865328,VAR
2013-05-13,68.51,69.53,68.21,69.37,914613,VAR
2013-05-14,69.41,70.71,69.29,70.23,1622366,VAR
2013-05-15,70.01,70.2,69.715,69.94,906524,VAR
2013-05-16,69.61,69.61,68.43,68.98,834759,VAR
2013-05-17,69.43,69.48,68.1,69.3,666962,VAR
2013-05-20,69.33,69.56,69.1,69.45,513927,VAR
2013-05-21,69.64,70.44,69.57,69.88,542185,VAR
2013-05-22,69.95,70.669,68.14,68.43,730985,VAR
2013-05-23,68.1,68.4,67.32,67.89,614223,VAR
2013-05-24,67.52,67.89,67.1,67.36,688217,VAR
2013-05-28,68.16,68.55,67.93,68.08,729249,VAR
2013-05-29,67.77,68.54,67.25,68.01,745115,VAR
2013-05-30,68.19,68.73,67.75,68.49,288393,VAR
2013-05-31,68.24,68.55,67.01,67.01,459079,VAR
2013-06-03,67.26,67.41,66.3601,67.37,505519,VAR
2013-06-04,67.36,67.75,66.77,66.84,574941,VAR
2013-06-05,66.73,68.48,66.64,67.85,994720,VAR
2013-06-06,67.84,68.19,66.93,68.18,621527,VAR
2013-06-07,68.52,69.66,68.38,69.55,522457,VAR
2013-06-10,69.61,69.765,68.55,69.2,845175,VAR
2013-06-11,68.07,69.04,68.07,68.61,693805,VAR
2013-06-12,69.2,69.27,67.92,68.14,562628,VAR
2013-06-13,68.22,69.66,67.73,69.58,429640,VAR
2013-06-14,69.54,69.89,68.73,68.88,416183,VAR
2013-06-17,69.32,70.3,69.24,69.71,705218,VAR
2013-06-18,69.93,70.87,69.87,70.86,612678,VAR
2013-06-19,70.77,70.85,68.75,68.78,454559,VAR
2013-06-20,68.21,68.32,66.78,66.98,555455,VAR
2013-06-21,67.54,68.16,67.32,67.61,798209,VAR
2013-06-24,67.05,67.05,65.84,66.17,703857,VAR
2013-06-25,66.95,67.32,66.195,66.6,620024,VAR
2013-06-26,67.18,67.61,65.74,65.86,1311729,VAR
2013-06-27,66.06,66.79,65.94,66.63,1818203,VAR
2013-06-28,66.48,68.02,66.48,67.45,1095807,VAR
2013-07-01,67.87,68.55,67.55,68.14,563374,VAR
2013-07-02,67.97,67.97,66.37,66.65,868261,VAR
2013-07-03,66.63,66.79,66.02,66.37,444659,VAR
2013-07-05,66.98,67.39,66.51,67.23,274155,VAR
2013-07-08,67.68,68.37,67.34,68.2,640080,VAR
2013-07-09,68.1,68.71,65.7,66.3,1754735,VAR
