date,open,high,low,close,volume,Name
2013-02-08,45.58,46.32,45.57,46.13,8044637,VLO
2013-02-11,46.04,46.84,46.04,46.14,7103712,VLO
2013-02-12,46.13,46.45,45.34,45.65,7844747,VLO
2013-02-13,45.79,46.36,45.5,46.24,6391650,VLO
2013-02-14,46.3,47.5,46.24,47.23,9128668,VLO
2013-02-15,47.36,47.66,46.77,47.29,8704170,VLO
2013-02-19,47.55,47.8399,46.85,47.73,8094024,VLO
2013-02-20,47.72,47.85,44.71,44.93,14360901,VLO
2013-02-21,44.74,45.86,43.51,45.53,12583850,VLO
2013-02-22,45.95,46.3,44.98,46.07,7596555,VLO
2013-02-25,46.18,46.5,44.22,44.25,8403090,VLO
2013-02-26,44.18,45.08,43.6921,44.93,8713272,VLO
2013-02-27,44.94,46.14,44.6234,45.99,8414184,VLO
2013-02-28,46.01,46.55,45.51,45.59,9206151,VLO
2013-03-01,45.31,46.9,44.7,46.63,9875575,VLO
2013-03-04,46.41,48.56,46.41,48.51,11125427,VLO
2013-03-05,48.93,48.97,47.58,48.24,9113377,VLO
2013-03-06,48.55,48.79,47.51,47.62,8657766,VLO
2013-03-07,47.57,47.71,46.16,46.51,10950928,VLO
2013-03-08,46.87,47.09,45.39,45.5,11333312,VLO
2013-03-11,45.06,45.0999,43.11,43.72,22837772,VLO
2013-03-12,43.56,45.775,43.56,45.55,14815485,VLO
2013-03-13,43.5,44.55,43.2,43.42,20707285,VLO
2013-03-14,43.73,44.0,42.51,43.84,16252304,VLO
2013-03-15,43.9,44.97,43.85,44.18,12984214,VLO
2013-03-18,43.55,45.05,43.39,44.39,7517118,VLO
2013-03-19,44.45,44.675,43.5,44.22,8669454,VLO
2013-03-20,44.46,44.95,43.95,44.67,10116586,VLO
2013-03-21,44.29,44.875,44.015,44.02,9086148,VLO
2013-03-22,44.21,44.61,44.01,44.24,7190585,VLO
2013-03-25,44.44,44.93,44.1,44.28,9183039,VLO
2013-03-26,44.86,45.28,44.56,44.95,9583312,VLO
2013-03-27,44.77,45.44,44.71,44.95,7531434,VLO
2013-03-28,45.3,45.795,44.9775,45.49,8100608,VLO
2013-04-01,45.3,45.53,44.5434,44.97,8387793,VLO
2013-04-02,45.2,45.27,41.9,42.41,18993669,VLO
2013-04-03,42.57,42.73,39.92,40.6,20648566,VLO
2013-04-04,40.32,41.48,39.8,41.44,9911972,VLO
2013-04-05,40.93,42.07,40.07,41.98,11760179,VLO
2013-04-08,41.86,42.2,40.76,42.12,8096540,VLO
2013-04-09,42.26,42.79,41.6,42.66,8558985,VLO
2013-04-10,42.7,43.3,42.32,42.97,10002794,VLO
2013-04-11,42.94,43.0,40.87,41.26,15212504,VLO
2013-04-12,40.83,41.47,39.76,40.91,12763304,VLO
2013-04-15,40.27,40.35,38.62,38.8,12659852,VLO
2013-04-16,39.41,39.89,38.96,39.64,9134139,VLO
2013-04-17,39.0,39.05,37.67,38.24,8380233,VLO
2013-04-18,38.3,39.165,37.8301,38.69,8962826,VLO
2013-04-19,38.88,39.47,38.14,39.24,7105835,VLO
2013-04-22,39.45,40.3,38.645,39.79,9533018,VLO
2013-04-23,39.94,41.0401,39.5199,40.65,10260252,VLO
2013-04-24,40.83,42.34,40.83,41.97,11325490,VLO
2013-04-25,42.34,42.5,41.02,41.24,9543281,VLO
2013-04-26,41.09,41.09,39.98,40.72,7227625,VLO
2013-04-29,40.61,41.6,40.61,41.2,7583816,VLO
2013-04-30,42.82,42.948,39.96,40.32,16408534,VLO
2013-05-01,39.97,39.99,38.64,38.78,9818528,VLO
2013-05-02,36.9,37.38,35.81,36.98,10783670,VLO
2013-05-03,36.66,38.07,36.27,37.59,10445941,VLO
2013-05-06,37.94,38.63,37.62,38.38,6788994,VLO
2013-05-07,38.9,39.3799,38.34,39.11,10578679,VLO
2013-05-08,39.2,39.839,37.65,38.26,10581799,VLO
2013-05-09,38.31,38.55,37.96,38.23,8213144,VLO
2013-05-10,38.1,38.835,37.55,38.8,8362275,VLO
2013-05-13,38.52,38.74,37.99,38.12,5996774,VLO
2013-05-14,38.08,39.15,38.08,39.01,7302944,VLO
2013-05-15,39.03,40.25,38.98,39.81,8296406,VLO
2013-05-16,39.82,40.25,39.29,39.61,7768826,VLO
2013-05-17,39.65,41.3,39.59,41.2,10112615,VLO
2013-05-20,41.19,42.6975,40.73,42.09,9166770,VLO
2013-05-21,42.12,42.5,41.21,41.21,7100565,VLO
2013-05-22,41.24,42.0,40.165,40.53,9113067,VLO
2013-05-23,39.71,40.82,39.3,40.24,6226231,VLO
2013-05-24,39.86,40.07,39.35,40.06,4514905,VLO
2013-05-28,40.67,41.15,40.295,40.73,4997079,VLO
2013-05-29,40.58,40.97,40.0,40.48,6401561,VLO
2013-05-30,40.24,40.95,40.04,40.66,5714369,VLO
2013-05-31,40.55,41.51,40.51,40.63,6633777,VLO
2013-06-03,40.68,40.86,39.2299,40.25,6648161,VLO
2013-06-04,40.02,40.26,38.36,38.96,9466681,VLO
2013-06-05,38.93,39.46,38.4,38.62,6114966,VLO
2013-06-06,38.59,39.4508,38.31,39.27,5154066,VLO
2013-06-07,39.44,40.0,39.22,39.57,4513276,VLO
2013-06-10,39.73,39.81,38.88,38.97,4491465,VLO
2013-06-11,38.69,38.96,38.29,38.48,6608275,VLO
2013-06-12,38.98,39.12,37.93,37.96,5483460,VLO
2013-06-13,37.85,38.9,37.85,38.66,5729671,VLO
2013-06-14,38.71,38.85,37.92,38.01,5986777,VLO
2013-06-17,38.23,38.58,37.75,37.95,7352286,VLO
2013-06-18,37.93,38.245,37.7,38.07,5446882,VLO
2013-06-19,38.03,38.61,37.52,37.58,7481231,VLO
2013-06-20,37.08,37.09,35.7,35.73,12002354,VLO
2013-06-21,36.02,36.07,34.63,35.39,14236438,VLO
2013-06-24,34.79,34.87,33.2701,33.76,12426736,VLO
2013-06-25,34.4,35.12,34.29,34.98,10672894,VLO
2013-06-26,35.31,35.735,35.075,35.4,6576713,VLO
2013-06-27,35.58,35.75,34.88,34.99,5603333,VLO
2013-06-28,34.83,35.035,34.53,34.77,9971773,VLO
2013-07-01,34.58,35.3,34.12,34.25,7722026,VLO
2013-07-02,34.25,34.28,33.34,33.54,8695187,VLO
2013-07-03,33.55,33.73,33.0,33.69,8158644,VLO
2013-07-05,33.87,34.03,33.03,33.85,6230623,VLO
2013-07-08,34.06,34.7293,34.0,34.53,7292885,VLO
2013-07-09,34.77,34.93,33.98,34.28,9690950,VLO
