date,open,high,low,close,volume,Name
2013-02-08,66.78,67.44,66.6,67.42,1238007,VTR
2013-02-11,67.41,67.86,67.33,67.7,1241033,VTR
2013-02-12,67.69,68.35,67.45,68.16,1127229,VTR
2013-02-13,68.27,68.425,67.8408,68.11,867704,VTR
2013-02-14,68.04,68.12,67.58,67.78,1440966,VTR
2013-02-15,68.29,69.51,67.63,69.47,2693445,VTR
2013-02-19,69.55,69.81,68.54,69.35,1718220,VTR
2013-02-20,69.25,69.82,69.19,69.58,1781401,VTR
2013-02-21,69.68,70.16,69.22,69.43,1679773,VTR
2013-02-22,69.66,70.2,69.59,70.13,1581556,VTR
2013-02-25,70.31,70.5,68.85,68.85,1363819,VTR
2013-02-26,69.16,69.7099,69.07,69.55,1491149,VTR
2013-02-27,69.49,70.62,69.13,70.3,1105134,VTR
2013-02-28,70.33,71.13,70.29,70.78,2943049,VTR
2013-03-01,70.28,71.9,70.0,71.26,1889889,VTR
2013-03-04,71.13,72.1,70.96,71.61,1523843,VTR
2013-03-05,71.95,72.1,71.42,71.81,1412929,VTR
2013-03-06,71.74,71.74,70.63,70.9,1160482,VTR
2013-03-07,70.85,71.33,70.76,70.84,1557399,VTR
2013-03-08,71.0,71.0,69.81,70.34,1688015,VTR
2013-03-11,70.43,70.6,70.11,70.6,932214,VTR
2013-03-12,70.8,70.9,70.21,70.46,1060546,VTR
2013-03-13,70.51,70.73,70.0601,70.3,994906,VTR
2013-03-14,70.45,71.02,70.35,70.52,1106973,VTR
2013-03-15,70.14,70.8,69.81,70.69,2218510,VTR
2013-03-18,70.18,70.46,69.945,70.21,1582300,VTR
2013-03-19,70.14,70.32,69.69,69.89,1078154,VTR
2013-03-20,70.2,70.49,69.94,70.13,1292536,VTR
2013-03-21,70.27,70.72,70.07,70.25,1234361,VTR
2013-03-22,70.26,71.05,70.22,70.98,973046,VTR
2013-03-25,71.21,71.64,71.02,71.26,1185238,VTR
2013-03-26,71.45,72.2,71.33,71.99,977493,VTR
2013-03-27,71.69,72.155,71.57,72.11,992411,VTR
2013-03-28,72.24,73.22,71.92,73.2,1995765,VTR
2013-04-01,73.2,73.5,72.84,73.5,1000035,VTR
2013-04-02,73.87,74.29,73.67,74.02,1119262,VTR
2013-04-03,74.25,74.41,73.39,73.53,1016588,VTR
2013-04-04,73.7,74.77,73.64,74.65,1289213,VTR
2013-04-05,73.9,74.8,73.85,74.74,1292237,VTR
2013-04-08,74.93,75.66,74.59,75.55,1005670,VTR
2013-04-09,75.55,75.77,75.01,75.53,1169182,VTR
2013-04-10,75.74,76.33,75.45,76.15,1473092,VTR
2013-04-11,76.28,76.85,76.06,76.31,1155178,VTR
2013-04-12,76.18,77.18,75.97,77.18,1200617,VTR
2013-04-15,76.7,77.88,76.5005,76.63,2953541,VTR
2013-04-16,76.19,77.8,75.44,77.77,2203870,VTR
2013-04-17,77.29,77.93,76.44,77.53,2444796,VTR
2013-04-18,77.63,77.93,77.0,77.72,1788172,VTR
2013-04-19,78.07,79.1,77.41,79.05,1699834,VTR
2013-04-22,79.2,79.26,78.44,79.12,1075561,VTR
2013-04-23,79.53,79.6,78.74,79.39,1180841,VTR
2013-04-24,79.09,79.56,78.6985,79.21,1082354,VTR
2013-04-25,79.27,79.54,78.42,78.6,1374454,VTR
2013-04-26,78.59,79.37,77.89,78.41,1165224,VTR
2013-04-29,78.75,79.09,78.26,79.0,799248,VTR
2013-04-30,78.99,79.64,78.85,79.63,1122388,VTR
2013-05-01,79.67,80.55,79.3,79.45,1457017,VTR
2013-05-02,79.98,80.4,79.4,80.26,1241274,VTR
2013-05-03,80.71,80.82,79.93,79.98,1636625,VTR
2013-05-06,79.86,80.58,79.78,80.37,1495289,VTR
2013-05-07,80.38,80.83,79.79,80.65,1401423,VTR
2013-05-08,80.35,80.35,79.34,79.66,1846194,VTR
2013-05-09,79.61,79.61,78.44,78.7,1839846,VTR
2013-05-10,79.07,79.27,78.5326,79.27,1433388,VTR
2013-05-13,79.32,79.99,79.18,79.88,1110037,VTR
2013-05-14,80.07,80.57,79.902,80.53,969144,VTR
2013-05-15,80.41,81.8,80.08,81.8,1843392,VTR
2013-05-16,81.44,81.66,80.92,81.23,1633071,VTR
2013-05-17,81.38,82.21,81.0275,81.67,1524165,VTR
2013-05-20,82.11,82.64,81.88,82.3,1422731,VTR
2013-05-21,82.62,83.22,82.39,82.93,1216888,VTR
2013-05-22,83.01,84.108,80.26,80.71,2128973,VTR
2013-05-23,79.57,79.81,77.52,78.07,2989054,VTR
2013-05-24,77.65,77.84,75.59,76.66,2348429,VTR
2013-05-28,77.45,77.6565,74.51,74.84,2664934,VTR
2013-05-29,74.07,74.194,71.52,72.56,3813397,VTR
2013-05-30,72.54,73.35,72.38,72.79,2134093,VTR
2013-05-31,72.51,73.41,71.32,71.37,3692343,VTR
2013-06-03,71.26,71.85,69.79,71.44,1847950,VTR
2013-06-04,71.41,71.56,70.23,70.24,1588470,VTR
2013-06-05,70.1,70.75,69.28,69.5,1500941,VTR
2013-06-06,69.56,71.35,69.19,71.29,1396681,VTR
2013-06-07,71.58,71.79,70.23,71.25,1597232,VTR
2013-06-10,71.28,71.47,70.23,70.49,1272749,VTR
2013-06-11,69.71,70.88,69.34,69.95,1426884,VTR
2013-06-12,70.11,70.16,68.42,68.56,1626232,VTR
2013-06-13,68.08,69.8,67.76,69.5,2236749,VTR
2013-06-14,69.39,71.18,69.39,70.43,1781936,VTR
2013-06-17,70.68,71.81,70.68,71.4,1959829,VTR
2013-06-18,71.52,71.985,70.91,71.67,1496359,VTR
2013-06-19,71.66,71.89,68.37,68.57,2075586,VTR
2013-06-20,68.22,68.22,64.02,64.38,3166250,VTR
2013-06-21,64.84,66.31,64.11,65.46,3727556,VTR
2013-06-24,64.98,66.88,63.82,65.25,2380213,VTR
2013-06-25,65.82,67.73,65.3,67.37,2400381,VTR
2013-06-26,68.61,69.75,68.01,68.83,2031832,VTR
2013-06-27,69.3,70.125,69.17,69.79,1725787,VTR
2013-06-28,69.74,70.3,68.91,69.46,3144506,VTR
2013-07-01,70.06,70.55,68.44,68.61,1487441,VTR
2013-07-02,68.62,69.92,68.62,69.86,2427345,VTR
2013-07-03,69.5,69.73,68.32,69.22,980719,VTR
2013-07-05,69.33,69.46,66.18,68.04,1800835,VTR
2013-07-08,67.99,68.99,67.97,68.04,1437618,VTR
2013-07-09,68.08,69.24,68.02,69.02,1203265,VTR
2013-07-10,68.88,68.98,67.9,68.65,1434463,VTR
2013-07-11,69.77,71.4,69.77,71.25,1558568,VTR
2013-07-12,71.25,71.39,70.03,70.55,1140283,VTR
2013-07-15,70.55,70.91,70.18,70.69,872943,VTR
2013-07-16,70.76,71.08,70.6,70.89,1426448,VTR
2013-07-17,71.06,71.9,71.06,71.62,1256983,VTR
2013-07-18,71.67,72.18,71.35,72.16,1130390,VTR
2013-07-19,72.18,72.32,71.35,71.44,1144836,VTR
2013-07-22,71.36,71.79,71.04,71.61,906393,VTR
2013-07-23,71.73,71.81,71.04,71.47,620191,VTR
2013-07-24,71.46,71.46,68.66,68.96,1599805,VTR
2013-07-25,68.76,69.38,68.17,69.15,1317858,VTR
2013-07-26,69.47,69.6,68.18,68.43,1537735,VTR
2013-07-29,68.2,68.99,68.2,68.39,1304185,VTR
2013-07-30,68.42,68.92,67.6,67.83,1374098,VTR
2013-07-31,67.92,67.96,65.3,65.74,2659992,VTR
2013-08-01,66.03,66.17,64.67,64.72,1989521,VTR
2013-08-02,64.72,65.8,64.68,64.95,1975706,VTR
2013-08-05,64.86,65.48,64.7,65.23,1330395,VTR
2013-08-06,65.37,65.71,64.73,64.74,1700441,VTR
2013-08-07,64.71,64.75,64.0,64.2,1333407,VTR
2013-08-08,64.43,64.68,64.01,64.33,1292467,VTR
2013-08-09,64.24,64.99,64.06,64.61,2008239,VTR
2013-08-12,64.54,64.97,64.15,64.43,1291902,VTR
2013-08-13,64.56,64.57,63.03,63.22,1536305,VTR
2013-08-14,63.18,63.37,62.63,62.69,1325919,VTR
2013-08-15,62.19,62.2,60.96,61.08,2285763,VTR
2013-08-16,60.8,60.91,59.04,59.53,4321043,VTR
2013-08-19,59.21,59.5,58.53,58.86,2230904,VTR
2013-08-20,59.04,60.66,59.04,60.33,1717084,VTR
2013-08-21,60.13,62.424,59.23,61.25,2348427,VTR
2013-08-22,61.29,61.35,60.4,60.92,1625032,VTR
2013-08-23,60.88,62.38,60.83,62.37,1732211,VTR
2013-08-26,62.51,62.57,61.79,62.01,1269116,VTR
2013-08-27,61.6,63.07,61.271,62.86,1853474,VTR
2013-08-28,62.75,62.94,62.06,62.76,1681611,VTR
2013-08-29,62.5,62.59,61.755,62.55,1126035,VTR
2013-08-30,62.57,63.06,62.07,62.26,1428821,VTR
2013-09-03,62.94,62.94,61.0,61.57,1770874,VTR
2013-09-04,61.7,62.01,61.145,61.72,943439,VTR
2013-09-05,61.71,61.91,60.35,60.44,1094173,VTR
2013-09-06,61.38,62.32,61.32,61.46,1513464,VTR
2013-09-09,61.71,62.16,61.29,62.16,1448450,VTR
2013-09-10,62.34,62.4879,60.91,61.32,1795196,VTR
2013-09-11,60.9,61.45,60.72,61.37,1426893,VTR
2013-09-12,61.34,61.97,60.63,60.71,931063,VTR
2013-09-13,60.77,61.77,60.54,61.45,1423110,VTR
2013-09-16,64.47,64.63,62.97,63.23,2058751,VTR
2013-09-17,63.13,63.79,62.89,62.89,1511787,VTR
2013-09-18,62.82,65.63,61.43,65.54,2939807,VTR
2013-09-19,65.82,66.07,64.285,64.33,1941678,VTR
2013-09-20,64.23,64.29,62.92,62.93,2734054,VTR
2013-09-23,62.91,63.44,62.46,62.48,1231974,VTR
2013-09-24,62.49,63.16,61.94,62.41,1844619,VTR
2013-09-25,62.39,63.07,62.22,62.97,1542636,VTR
2013-09-26,62.97,63.35,62.68,63.28,1066223,VTR
2013-09-27,62.96,63.23,62.18,62.66,1498130,VTR
2013-09-30,62.33,63.09,61.12,61.5,2109250,VTR
2013-10-01,61.24,63.61,61.24,63.11,1684347,VTR
2013-10-02,63.06,63.55,62.14,63.48,2127868,VTR
2013-10-03,63.2,63.38,61.55,62.03,2217045,VTR
2013-10-04,62.01,62.56,61.47,61.7,1213223,VTR
2013-10-07,61.16,62.52,61.11,62.12,774481,VTR
2013-10-08,62.09,62.73,62.02,62.08,1382464,VTR
2013-10-09,62.14,62.6,61.86,62.05,1042543,VTR
2013-10-10,62.67,63.75,62.375,63.67,1358151,VTR
2013-10-11,63.7,64.09,63.04,64.09,1089440,VTR
2013-10-14,63.46,64.02,63.0,63.62,1033489,VTR
2013-10-15,63.37,63.99,62.95,63.3,1060845,VTR
2013-10-16,63.79,64.77,63.57,64.67,1502531,VTR
2013-10-17,64.8,66.0,64.56,65.82,1272974,VTR
2013-10-18,66.12,66.59,65.3301,65.54,1480396,VTR
2013-10-21,65.56,65.56,64.53,64.82,1334145,VTR
2013-10-22,64.93,66.2,64.57,65.84,1076871,VTR
2013-10-23,65.75,66.28,65.53,66.0,1258875,VTR
2013-10-24,65.98,66.07,65.53,66.02,1094335,VTR
2013-10-25,67.25,67.64,66.32,67.33,1726964,VTR
2013-10-28,67.38,67.38,65.85,66.6,1350051,VTR
2013-10-29,66.67,66.79,65.75,66.11,1295479,VTR
2013-10-30,66.25,66.49,65.65,65.82,922026,VTR
2013-10-31,65.92,66.22,65.12,65.24,1427157,VTR
2013-11-01,65.37,65.77,65.07,65.54,1507684,VTR
2013-11-04,65.65,65.96,65.0,65.82,1145653,VTR
2013-11-05,65.44,65.714,63.805,63.99,1556964,VTR
2013-11-06,64.3,64.55,63.88,64.03,1462589,VTR
2013-11-07,64.12,64.5,63.44,63.63,1223412,VTR
2013-11-08,63.11,63.12,60.65,61.57,1808696,VTR
2013-11-11,61.62,62.14,61.3,61.48,895576,VTR
2013-11-12,61.39,61.54,60.37,60.73,953101,VTR
2013-11-13,60.65,60.78,60.15,60.51,1506538,VTR
2013-11-14,60.96,61.439,60.5,60.87,1396540,VTR
2013-11-15,60.86,61.55,60.86,61.18,1376686,VTR
2013-11-18,61.18,61.4,60.93,60.94,1163281,VTR
2013-11-19,61.09,61.09,60.17,60.4,887554,VTR
2013-11-20,60.71,61.18,58.94,59.17,1696408,VTR
2013-11-21,59.4,59.91,59.04,59.76,1090583,VTR
2013-11-22,59.76,59.9,58.81,59.15,1194254,VTR
2013-11-25,59.3,59.44,57.78,58.15,1525970,VTR
2013-11-26,58.19,58.41,57.37,57.48,1571587,VTR
2013-11-27,57.45,57.72,57.04,57.64,1466682,VTR
2013-11-29,57.74,57.77,56.82,56.83,784381,VTR
2013-12-02,56.82,57.0,56.0,56.26,1423530,VTR
2013-12-03,56.2,56.25,55.78,55.97,1558664,VTR
2013-12-04,55.4,56.68,55.36,56.21,1810683,VTR
2013-12-05,56.15,56.87,55.67,56.68,1564844,VTR
2013-12-06,57.0,57.15,55.99,56.35,1142838,VTR
2013-12-09,56.52,57.27,56.18,57.26,2351968,VTR
2013-12-10,57.41,58.34,57.3,57.98,3019080,VTR
2013-12-11,57.85,57.97,56.3,56.33,2299066,VTR
2013-12-12,55.5,55.81,54.89,55.26,2470286,VTR
2013-12-13,55.69,56.5799,55.5201,55.98,1913880,VTR
2013-12-16,56.05,56.58,56.01,56.33,2396234,VTR
2013-12-17,56.44,56.75,56.245,56.58,2163741,VTR
2013-12-18,56.75,57.89,55.58,57.76,2936535,VTR
2013-12-19,57.29,57.39,55.88,56.65,2621476,VTR
2013-12-20,56.91,57.38,56.75,57.35,2615401,VTR
2013-12-23,57.57,57.95,57.08,57.14,1728626,VTR
2013-12-24,57.11,57.47,56.89,57.13,625098,VTR
2013-12-26,57.12,57.584,57.11,57.26,1286356,VTR
2013-12-27,57.27,57.51,56.85,57.24,1135809,VTR
2013-12-30,57.17,57.98,57.17,57.69,1180327,VTR
2013-12-31,57.74,57.93,57.12,57.28,1664275,VTR
2014-01-02,56.95,57.219,56.43,56.82,1513084,VTR
2014-01-03,57.03,57.105,56.63,56.79,1163080,VTR
2014-01-06,57.67,58.66,57.134,58.2,2546754,VTR
2014-01-07,58.19,58.53,57.5646,58.22,2504705,VTR
2014-01-08,58.07,58.55,57.57,57.89,1887291,VTR
2014-01-09,57.87,58.6,57.65,58.04,1488649,VTR
2014-01-10,58.51,60.98,58.51,60.7,3116412,VTR
2014-01-13,60.99,61.1,59.37,59.9,2836621,VTR
2014-01-14,60.13,60.13,59.59,59.94,2041275,VTR
2014-01-15,59.79,60.43,59.79,60.29,1692698,VTR
2014-01-16,60.21,61.21,60.04,61.2,1839504,VTR
2014-01-17,61.4,61.4599,60.55,60.96,2215642,VTR
2014-01-21,61.25,61.86,61.01,61.8,2196197,VTR
2014-01-22,61.8,62.24,61.4,61.64,2297886,VTR
2014-01-23,61.27,61.64,61.27,61.47,1916037,VTR
2014-01-24,61.37,61.87,61.16,61.39,2541051,VTR
2014-01-27,61.55,62.16,61.36,61.36,1911131,VTR
2014-01-28,61.47,62.16,61.46,61.82,1448694,VTR
2014-01-29,61.3,61.97,61.06,61.6,1435385,VTR
2014-01-30,62.03,62.595,61.76,61.83,1469087,VTR
2014-01-31,61.33,62.7,61.24,62.39,2408847,VTR
2014-02-03,62.46,62.476,61.33,61.55,1664311,VTR
2014-02-04,61.7,62.1,61.48,61.99,1533747,VTR
2014-02-05,61.85,62.153,61.0,61.54,1589292,VTR
2014-02-06,61.55,62.08,61.36,61.8,1846953,VTR
2014-02-07,61.97,62.18,61.39,61.94,1433514,VTR
2014-02-10,62.06,63.04,61.85,62.95,1509929,VTR
2014-02-11,62.81,62.91,61.92,62.63,1579449,VTR
2014-02-12,62.55,62.62,61.63,61.78,1934873,VTR
2014-02-13,61.51,62.84,61.5,62.6,1635347,VTR
2014-02-14,62.7,63.1,60.79,61.52,2087901,VTR
2014-02-18,61.51,61.61,60.42,61.42,1967244,VTR
2014-02-19,61.31,62.795,61.23,61.91,1751682,VTR
2014-02-20,61.95,62.49,60.92,61.15,1302170,VTR
2014-02-21,61.13,61.49,60.53,60.62,2154227,VTR
2014-02-24,60.75,62.44,60.75,61.71,2049083,VTR
2014-02-25,61.82,62.13,61.34,61.49,1204334,VTR
2014-02-26,61.78,62.2,61.0,61.94,1703467,VTR
2014-02-27,61.99,62.575,61.93,62.44,1467808,VTR
2014-02-28,62.44,62.71,62.0,62.43,2178445,VTR
2014-03-03,62.01,62.89,62.01,62.79,1023164,VTR
2014-03-04,63.38,63.74,63.08,63.67,1302124,VTR
2014-03-05,62.98,63.08,62.42,63.03,1495143,VTR
2014-03-06,62.99,63.145,61.86,61.97,1451635,VTR
2014-03-07,61.85,61.87,60.09,60.5,2658300,VTR
2014-03-10,60.51,60.65,60.02,60.51,1521160,VTR
2014-03-11,60.56,61.43,60.46,61.16,1256256,VTR
2014-03-12,61.13,61.88,61.0,61.21,1072904,VTR
2014-03-13,61.36,61.36,60.45,60.48,1298575,VTR
2014-03-14,60.48,61.32,60.44,60.76,1088948,VTR
2014-03-17,60.99,61.19,60.34,60.62,754288,VTR
2014-03-18,60.48,60.93,60.26,60.89,1171290,VTR
2014-03-19,61.04,61.14,58.65,58.92,2093015,VTR
