date,open,high,low,close,volume,Name
2013-02-08,41.24,41.58,41.16,41.4,4127525,WBA
2013-02-11,41.45,41.76,41.16,41.48,6863283,WBA
2013-02-12,41.91,41.95,41.59,41.95,4799075,WBA
2013-02-13,41.6,41.6,40.97,41.48,6296675,WBA
2013-02-14,41.295,42.0,40.965,41.86,9037596,WBA
2013-02-15,41.92,41.97,41.01,41.15,7522994,WBA
2013-02-19,41.31,41.7,41.31,41.7,6689998,WBA
2013-02-20,41.73,41.99,41.6,41.6,4641461,WBA
2013-02-21,41.47,41.74,41.36,41.62,4550423,WBA
2013-02-22,41.67,41.87,41.45,41.81,4310617,WBA
2013-02-25,41.87,41.99,40.61,40.64,5133467,WBA
2013-02-26,40.76,40.99,40.41,40.8,4612166,WBA
2013-02-27,40.72,41.265,40.67,41.17,3299973,WBA
2013-02-28,41.02,41.23,40.67,40.94,6912880,WBA
2013-03-01,40.87,41.34,40.62,41.32,5195277,WBA
2013-03-04,41.17,41.79,40.98,41.77,4534832,WBA
2013-03-05,40.92,41.14,40.1,40.72,12870231,WBA
2013-03-06,40.71,40.74,39.87,39.96,7801126,WBA
2013-03-07,40.02,40.3,39.74,40.13,5753310,WBA
2013-03-08,40.16,40.68,40.15,40.64,5582239,WBA
2013-03-11,40.52,41.35,40.454,41.28,4686949,WBA
2013-03-12,41.18,41.22,40.78,41.04,4970609,WBA
2013-03-13,41.56,42.91,41.56,42.78,11756591,WBA
2013-03-14,42.84,42.95,42.42,42.72,5354367,WBA
2013-03-15,42.51,42.71,42.21,42.58,5246918,WBA
2013-03-18,42.24,42.71,42.13,42.43,2767529,WBA
2013-03-19,43.11,45.8,43.1,44.74,23809425,WBA
2013-03-20,45.25,46.33,45.16,46.02,15551550,WBA
2013-03-21,45.82,46.25,45.66,45.81,6611434,WBA
2013-03-22,45.97,46.49,45.91,46.49,5328564,WBA
2013-03-25,46.43,47.24,46.091,46.19,8230608,WBA
2013-03-26,46.49,47.61,46.37,47.57,8848476,WBA
2013-03-27,47.45,47.54,47.071,47.24,4404886,WBA
2013-03-28,47.33,47.76,47.17,47.68,6150934,WBA
2013-04-01,47.4,47.68,46.89,46.97,5016063,WBA
2013-04-02,47.52,47.87,47.12,47.32,6175210,WBA
2013-04-03,47.91,48.18,46.095,46.3,7343168,WBA
2013-04-04,46.21,46.705,46.19,46.59,4624994,WBA
2013-04-05,46.01,47.11,45.79,47.01,4776195,WBA
2013-04-08,46.78,47.66,46.64,47.66,3848104,WBA
2013-04-09,47.72,48.4,47.4401,48.31,6127962,WBA
2013-04-10,48.28,48.5,47.85,48.11,5196456,WBA
2013-04-11,48.13,49.14,48.13,48.67,5733079,WBA
2013-04-12,48.45,49.02,48.1501,48.77,4794088,WBA
2013-04-15,48.65,49.5,48.53,48.62,6876252,WBA
2013-04-16,48.69,49.245,48.66,49.06,5629965,WBA
2013-04-17,48.97,49.24,48.26,48.55,4828624,WBA
2013-04-18,48.61,48.81,48.28,48.71,3805621,WBA
2013-04-19,48.89,49.63,48.84,49.35,6958408,WBA
2013-04-22,49.67,50.1,49.08,49.72,6536968,WBA
2013-04-23,49.94,50.35,49.25,49.62,6500345,WBA
2013-04-24,49.63,50.01,48.98,49.05,5628219,WBA
2013-04-25,49.21,49.96,49.12,49.7,3781921,WBA
2013-04-26,49.6,49.7,49.25,49.27,3419926,WBA
2013-04-29,49.38,49.63,49.06,49.42,3316392,WBA
2013-04-30,49.31,49.54,48.96,49.51,5555426,WBA
2013-05-01,49.51,49.855,48.915,48.94,5658884,WBA
2013-05-02,48.91,49.08,48.62,48.88,5025502,WBA
2013-05-03,48.37,48.49,47.82,48.02,8961129,WBA
2013-05-06,48.09,48.54,47.76,47.84,5244395,WBA
2013-05-07,48.03,49.38,48.0,49.19,6550019,WBA
2013-05-08,48.99,49.3625,48.78,49.12,4761357,WBA
2013-05-09,49.12,49.2,47.72,47.81,7531388,WBA
2013-05-10,48.06,48.8,48.06,48.72,6412694,WBA
2013-05-13,48.48,49.25,48.4,49.07,3965980,WBA
2013-05-14,48.97,49.92,48.93,49.59,5420689,WBA
2013-05-15,49.22,50.5,49.12,50.03,6173477,WBA
2013-05-16,49.91,49.92,49.02,49.11,5085060,WBA
2013-05-17,48.92,49.65,48.75,49.61,4083159,WBA
2013-05-20,49.55,49.91,49.41,49.75,4463242,WBA
2013-05-21,49.67,50.16,49.56,50.11,5083907,WBA
2013-05-22,50.1,51.2,49.995,50.14,7913782,WBA
2013-05-23,49.89,50.75,49.77,50.4,5191742,WBA
2013-05-24,50.19,50.95,49.9,50.77,5658447,WBA
2013-05-28,51.05,51.25,50.1101,50.23,4210327,WBA
2013-05-29,49.89,49.92,49.41,49.54,4902073,WBA
2013-05-30,49.5,49.54,48.97,49.01,4565643,WBA
2013-05-31,48.99,49.35,47.75,47.76,5828377,WBA
2013-06-03,47.72,48.53,46.56,48.5,6663736,WBA
