date,open,high,low,close,volume,Name
2013-02-08,123.51,126.92,123.5,126.52,1467980,WYNN
2013-02-11,126.88,126.88,123.56,124.1,1325558,WYNN
2013-02-12,123.57,124.01,122.5,122.67,813480,WYNN
2013-02-13,123.6,124.24,122.39,122.4,1253451,WYNN
2013-02-14,122.8,123.25,121.49,123.2,887230,WYNN
2013-02-15,123.08,123.52,122.01,122.96,1088332,WYNN
2013-02-19,120.8999,120.91,118.07,120.39,1901299,WYNN
2013-02-20,120.18,120.92,116.33,116.56,1651298,WYNN
2013-02-21,116.31,116.32,113.85,115.53,1664853,WYNN
2013-02-22,116.15,117.85,115.02,117.34,1296693,WYNN
2013-02-25,118.56,120.685,115.51,115.56,1625328,WYNN
2013-02-26,115.78,116.32,113.39,115.5,1386543,WYNN
2013-02-27,115.88,118.33,115.285,117.64,1449996,WYNN
2013-02-28,117.24,119.25,116.9,116.9,964147,WYNN
2013-03-01,116.95,117.3,115.14,116.57,1041064,WYNN
2013-03-04,116.15,117.49,115.12,116.55,1333130,WYNN
2013-03-05,116.88,117.33,115.91,116.0,959721,WYNN
2013-03-06,116.39,118.28,115.83,117.3,1034160,WYNN
2013-03-07,117.27,118.27,116.46,117.21,835607,WYNN
2013-03-08,118.02,118.225,116.655,117.35,908174,WYNN
2013-03-11,117.58,119.28,117.24,118.15,1231255,WYNN
2013-03-12,117.84,118.0,116.6,117.98,1101057,WYNN
2013-03-13,118.18,119.47,117.47,118.63,762388,WYNN
2013-03-14,118.99,119.98,118.66,119.81,725070,WYNN
2013-03-15,119.52,120.24,118.5,119.97,1565317,WYNN
2013-03-18,118.71,121.81,118.24,120.11,1065537,WYNN
2013-03-19,120.36,121.33,119.0,119.93,807087,WYNN
2013-03-20,121.1,122.79,120.83,122.32,907790,WYNN
2013-03-21,121.99,122.88,121.09,121.09,657974,WYNN
2013-03-22,121.81,122.9,121.21,122.08,761514,WYNN
2013-03-25,122.88,124.65,121.5,121.64,2148665,WYNN
2013-03-26,122.6,125.0,121.95,124.54,1087340,WYNN
2013-03-27,123.86,124.44,122.76,124.13,800494,WYNN
2013-03-28,124.25,125.409,123.36,125.16,880120,WYNN
2013-04-01,125.23,125.23,122.41,123.19,970121,WYNN
2013-04-02,123.75,124.24,122.51,123.26,1012427,WYNN
2013-04-03,123.07,123.12,119.75,120.4,1164070,WYNN
2013-04-04,120.55,120.574,118.66,118.8,1185082,WYNN
2013-04-05,116.6,118.17,114.41,118.04,2383506,WYNN
2013-04-08,118.17,123.28,118.17,122.68,1463200,WYNN
2013-04-09,123.29,124.74,122.64,123.53,1046379,WYNN
2013-04-10,123.7,126.47,123.6,126.36,903648,WYNN
2013-04-11,126.48,128.21,126.27,127.16,1298474,WYNN
2013-04-12,127.0,129.39,126.56,128.54,1248726,WYNN
2013-04-15,127.51,128.2,123.18,124.13,1507410,WYNN
2013-04-16,125.02,127.44,125.0,127.04,1508191,WYNN
2013-04-17,126.29,126.36,123.17,124.33,1360105,WYNN
2013-04-18,124.79,125.32,122.24,123.94,1109028,WYNN
2013-04-19,125.16,127.93,124.71,127.56,1293740,WYNN
2013-04-22,127.95,128.63,126.74,128.4,1073187,WYNN
2013-04-23,129.05,129.91,127.3501,129.37,1431295,WYNN
