date,open,high,low,close,volume,Name
2013-02-08,66.14,66.83,65.97,66.6,659052,XEC
2013-02-11,66.36,66.81,65.805,66.75,477857,XEC
2013-02-12,66.62,67.37,66.58,67.0,525793,XEC
2013-02-13,67.16,67.88,66.65,67.75,732232,XEC
2013-02-14,67.42,68.14,67.24,67.25,827450,XEC
2013-02-15,67.08,67.116,64.81,64.95,1198298,XEC
2013-02-19,66.48,67.09,64.95,66.95,2306480,XEC
2013-02-20,67.02,68.59,66.95,67.33,1752526,XEC
2013-02-21,68.52,68.9,66.56,68.81,1917866,XEC
2013-02-22,69.94,70.36,68.55,68.84,844597,XEC
2013-02-25,69.34,69.46,66.52,66.53,934574,XEC
2013-02-26,66.98,67.18,65.47,67.0,1299689,XEC
2013-02-27,66.51,68.6,66.51,68.1,768198,XEC
2013-02-28,68.11,68.46,66.95,67.31,826197,XEC
2013-03-01,66.87,67.04,65.1,65.47,1057699,XEC
2013-03-04,65.29,65.44,63.12,63.67,934770,XEC
2013-03-05,64.28,65.23,64.16,64.86,837175,XEC
2013-03-06,65.18,65.49,64.65,65.01,842687,XEC
2013-03-07,65.1,67.57,65.0,67.49,711324,XEC
2013-03-08,67.88,70.75,67.57,70.61,1168836,XEC
2013-03-11,70.25,71.71,69.44,71.65,764521,XEC
2013-03-12,71.47,72.53,71.15,72.12,861302,XEC
2013-03-13,72.12,74.71,72.0,74.03,1277250,XEC
2013-03-14,74.17,77.0,74.11,76.86,1138533,XEC
2013-03-15,77.16,79.23,76.88,78.1,2036580,XEC
2013-03-18,77.38,79.69,76.61,78.16,1012065,XEC
2013-03-19,78.36,78.43,76.41,76.88,730890,XEC
2013-03-20,76.4,76.54,74.0,75.0,1608572,XEC
2013-03-21,74.37,75.14,73.44,74.29,1061268,XEC
2013-03-22,75.03,75.92,74.91,75.89,1117959,XEC
2013-03-25,75.88,76.67,75.35,75.97,731864,XEC
2013-03-26,76.45,76.54,75.6,76.08,733454,XEC
2013-03-27,75.07,76.24,75.07,75.74,525221,XEC
2013-03-28,75.75,76.18,75.16,75.44,628829,XEC
2013-04-01,74.03,74.67,73.08,73.56,763607,XEC
2013-04-02,74.04,74.22,71.06,71.53,813145,XEC
2013-04-03,71.82,72.4,68.43,68.85,1085577,XEC
2013-04-04,68.65,69.75,68.05,69.72,880386,XEC
2013-04-05,68.71,71.58,68.43,70.89,814315,XEC
2013-04-08,71.01,71.85,70.43,71.67,604249,XEC
2013-04-09,71.97,72.9875,70.88,72.8,713277,XEC
2013-04-10,72.85,73.25,71.81,72.53,723872,XEC
2013-04-11,72.63,73.19,71.78,73.07,544517,XEC
2013-04-12,72.35,72.68,70.6,72.33,924175,XEC
2013-04-15,71.72,71.72,67.53,67.87,1025438,XEC
2013-04-16,69.06,70.2,67.55,70.11,699276,XEC
2013-04-17,69.69,69.73,67.36,69.28,845567,XEC
2013-04-18,69.28,71.73,68.17,70.67,1032227,XEC
2013-04-19,71.0,71.13,68.91,69.89,769900,XEC
2013-04-22,70.25,71.59,69.08,71.24,516204,XEC
2013-04-23,71.49,71.49,69.94,70.62,934724,XEC
2013-04-24,70.84,73.11,70.84,72.38,565757,XEC
2013-04-25,72.7,74.3,71.88,71.98,863627,XEC
2013-04-26,71.92,71.95,69.46,70.72,958831,XEC
2013-04-29,71.12,73.35,69.59,72.69,627549,XEC
2013-04-30,72.55,73.26,72.13,73.18,711829,XEC
2013-05-01,72.53,73.04,71.39,71.98,652760,XEC
2013-05-02,72.1,72.54,70.88,71.9,934634,XEC
2013-05-03,72.64,74.25,72.64,74.03,756763,XEC
2013-05-06,73.86,75.26,73.86,75.0,959167,XEC
2013-05-07,74.89,76.61,72.75,72.84,2041963,XEC
2013-05-08,72.9,73.55,71.92,72.91,1020677,XEC
2013-05-09,72.8,73.29,71.42,71.74,763008,XEC
2013-05-10,71.37,71.51,69.66,70.53,937391,XEC
2013-05-13,70.2,70.72,69.65,70.25,779528,XEC
2013-05-14,70.29,71.2,70.11,70.95,1352556,XEC
2013-05-15,70.41,70.96,69.29,69.86,907345,XEC
2013-05-16,69.94,70.13,68.75,68.82,897851,XEC
2013-05-17,69.3,70.66,69.22,70.64,1011810,XEC
2013-05-20,70.89,71.99,70.68,71.53,1345571,XEC
2013-05-21,71.5,72.08,70.38,70.55,582172,XEC
2013-05-22,70.64,71.96,68.52,68.76,978027,XEC
2013-05-23,68.41,71.69,67.92,71.62,1072197,XEC
2013-05-24,70.78,72.4799,70.12,72.31,815684,XEC
2013-05-28,72.95,74.24,69.25,73.54,1082584,XEC
2013-05-29,73.25,74.3,72.663,73.12,600312,XEC
2013-05-30,73.09,73.09,71.98,72.59,442161,XEC
2013-05-31,72.13,72.3,70.12,70.14,553069,XEC
2013-06-03,70.37,70.63,69.15,70.12,896793,XEC
2013-06-04,69.93,71.06,69.69,70.87,635556,XEC
2013-06-05,70.84,71.25,70.47,70.76,494597,XEC
2013-06-06,71.03,72.67,71.02,72.59,945596,XEC
2013-06-07,72.93,75.34,72.78,75.15,783804,XEC
2013-06-10,75.37,75.44,74.276,74.75,806183,XEC
2013-06-11,73.52,73.8,72.21,72.62,567303,XEC
2013-06-12,73.4,73.4,70.85,71.11,563908,XEC
2013-06-13,71.07,72.09,70.8,71.77,843643,XEC
